Chemical 1,Chemical 2,Similarity
DB01104,DB00927,1
DB04216,DB03760,1
DB01094,DB01577,1
DB00650,DB01611,1
DB00656,DB03783,1
DB00570,DB02169,1
DB01393,DB00264,1
DB00661,DB04224,1
DB01224,DB01242,1
DB04751,DB01045,1
DB00126,DB00499,1
DB04690,DB00435,1
DB00515,DB00908,1
DB00399,DB00482,1
DB00281,DB00788,1
DB03568,DB02587,1
DB01143,DB00528,1
DB04557,DB00875,1
DB03435,DB00860,1
DB01597,DB03128,1
DB00530,DB02379,1
DB00724,DB02546,1
DB01356,DB00352,1
DB00784,DB01656,1
DB00268,DB00404,1
DB00883,DB00843,1
DB00514,DB00312,1
DB02546,DB01220,1
DB01220,DB00312,1
DB00495,DB01169,1
DB00800,DB00554,1
DB04751,DB01030,1
DB00458,DB01454,1
DB02533,DB01065,1
DB00396,DB02052,1
DB03904,DB01296,1
DB01095,DB00532,1
DB00411,DB00770,1
DB00718,DB03796,1
DB00665,DB02925,1
DB00396,DB00536,1
DB00958,DB01085,1
DB01595,DB00305,1
DB01268,DB02169,1
DB00421,DB02679,1
DB00592,DB00227,1
DB00502,DB02285,1
DB00143,DB01149,1
DB01174,DB00768,1
DB00590,DB00762,1
DB00400,DB02527,1
DB03783,DB01029,1
DB01348,DB01167,1
DB00640,DB00266,1
DB00175,DB00158,1
DB01029,DB01420,1
DB02659,DB00224,1
DB01244,DB00368,1
DB00834,DB00441,1
DB00390,DB01206,1
DB00997,DB01017,1
DB01030,DB00843,1
DB02261,DB00220,1
DB01065,DB01162,1
DB00996,DB01388,1
DB04173,DB00716,1
DB01248,DB00115,1
DB00643,DB00975,1
DB01202,DB01626,1
DB03994,DB00322,1
DB01268,DB00783,1
DB00188,DB04816,1
DB00533,DB01167,1
DB00820,DB00332,1
DB00968,DB01273,1
DB00907,DB01136,1
DB00910,DB03766,1
DB00307,DB02679,1
DB00900,DB01452,1
DB00494,DB00653,1
DB03575,DB01576,1
DB01224,DB01058,1
DB00780,DB00985,1
DB04465,DB01110,1
DB03994,DB01060,1
DB03435,DB00590,1
DB00162,DB00468,1
DB00657,DB00947,1
DB00688,DB00909,1
DB01296,DB01166,1
DB00177,DB02261,1
DB01412,DB00412,1
DB00388,DB00184,1
DB01075,DB01041,1
DB00544,DB00675,1
DB02691,DB01149,1
DB04299,DB00208,1
DB03796,DB00583,1
DB00208,DB01167,1
DB00400,DB00977,1
DB03866,DB02546,1
DB01113,DB00322,1
DB01098,DB00176,1
DB00497,DB00397,1
DB00626,DB00540,1
DB00572,DB00432,1
DB00518,DB00907,1
DB03566,DB01345,1
DB00132,DB00594,1
DB01119,DB00502,1
DB00679,DB00819,1
DB01050,DB01268,1
DB00898,DB00201,1
DB01454,DB04077,1
DB03128,DB00848,1
DB00759,DB01366,1
DB04348,DB00772,1
DB00502,DB00623,1
DB00335,DB01119,1
DB00341,DB03496,1
DB00834,DB01085,1
DB00305,DB00605,1
DB00909,DB00201,1
DB00860,DB01048,1
DB00313,DB00867,1
DB02533,DB04224,1
DB04381,DB00312,1
DB01954,DB00457,1
DB03568,DB00206,1
DB00820,DB01095,1
DB01039,DB00938,1
DB00588,DB00457,1
DB00709,DB01892,1
DB04465,DB00730,1
DB00492,DB01340,1
DB00784,DB01101,1
DB01420,DB01340,1
DB00761,DB00359,1
DB00166,DB00945,1
DB00296,DB00909,1
DB00480,DB00977,1
DB00134,DB00976,1
DB00960,DB00346,1
DB00313,DB04703,1
DB00586,DB00334,1
DB01262,DB00712,1
DB01435,DB00891,1
DB01026,DB00141,1
DB00724,DB00903,1
DB00368,DB00523,1
DB00323,DB03703,1
DB00399,DB00834,1
DB00323,DB03206,1
DB00851,DB00794,1
DB03783,DB01080,1
DB00230,DB00927,1
DB00445,DB01268,1
DB00927,DB00518,1
DB01586,DB00338,1
DB03435,DB00277,1
DB00574,DB00390,1
DB00860,DB00382,1
DB01348,DB00261,1
DB00421,DB01199,1
DB00177,DB02659,1
DB00809,DB00204,1
DB00539,DB00879,1
DB00975,DB00421,1
DB00730,DB01234,1
DB01403,DB00203,1
DB00925,DB00611,1
DB02379,DB00724,1
DB00786,DB03994,1
DB01212,DB00984,1
DB00122,DB01045,1
DB00361,DB00958,1
DB00842,DB01076,1
DB00181,DB00491,1
DB03754,DB00526,1
DB04573,DB01234,1
DB03703,DB00014,1
DB01115,DB01154,1
DB00368,DB03575,1
DB02010,DB00255,1
DB00331,DB01167,1
DB00188,DB00104,1
DB00927,DB01039,1
DB00783,DB01199,1
DB00590,DB03796,1
DB00795,DB00162,1
DB02587,DB00675,1
DB00656,DB00819,1
DB01275,DB00533,1
DB01005,DB00853,1
DB01065,DB00627,1
DB00399,DB00367,1
DB01035,DB02010,1
DB01412,DB00789,1
DB00489,DB00382,1
DB00877,DB00846,1
DB01097,DB00380,1
DB00363,DB00687,1
DB00916,DB00746,1
DB00499,DB00860,1
DB00974,DB00518,1
DB04557,DB02539,1
DB00313,DB01202,1
DB00790,DB00657,1
DB00317,DB00381,1
DB00795,DB01080,1
DB00694,DB01424,1
DB04216,DB00747,1
DB01114,DB00119,1
DB00548,DB01942,1
DB02052,DB03994,1
DB01001,DB01590,1
DB00991,DB04106,1
DB00201,DB02010,1
DB00178,DB02546,1
DB00762,DB04381,1
DB04348,DB01216,1
DB00502,DB00381,1
DB00783,DB00398,1
DB00776,DB00169,1
DB00477,DB00230,1
DB00688,DB00816,1
DB00907,DB01597,1
DB00126,DB01159,1
DB00328,DB01079,1
DB00343,DB00641,1
DB00247,DB00716,1
DB00493,DB01117,1
DB04465,DB00798,1
DB00549,DB01073,1
DB00254,DB01356,1
DB00594,DB00543,1
DB00368,DB00126,1
DB02533,DB00916,1
DB04299,DB01103,1
DB00337,DB00203,1
DB04551,DB01367,1
DB00780,DB00290,1
DB00822,DB00275,1
DB00528,DB00623,1
DB01367,DB00818,1
DB03796,DB01238,1
DB00279,DB01220,1
DB01041,DB02712,1
DB04751,DB00613,1
DB01238,DB04173,1
DB00126,DB00819,1
DB01370,DB00611,1
DB03760,DB01378,1
DB00381,DB00397,1
DB00342,DB00169,1
DB00884,DB00356,1
DB03568,DB00887,1
DB00991,DB00995,1
DB01179,DB00252,1
DB00177,DB00220,1
DB00136,DB04272,1
DB00421,DB01406,1
DB02587,DB01283,1
DB00441,DB00571,1
DB01167,DB00261,1
DB04173,DB00841,1
DB00583,DB02967,1
DB00275,DB01174,1
DB04551,DB00475,1
DB04829,DB00866,1
DB04216,DB00334,1
DB00973,DB00136,1
DB01080,DB00493,1
DB02052,DB00536,1
DB00323,DB00457,1
DB02701,DB01174,1
DB00997,DB00641,1
DB00245,DB00608,1
DB04829,DB00836,1
DB00412,DB04821,1
DB00526,DB00300,1
DB02901,DB01698,1
DB03754,DB01035,1
DB00201,DB00379,1
DB00548,DB00920,1
DB01099,DB02379,1
DB00141,DB00143,1
DB01026,DB00224,1
DB01348,DB01045,1
DB00822,DB00761,1
DB00379,DB00920,1
DB02375,DB00501,1
DB02925,DB00848,1
DB02527,DB00173,1
DB00162,DB01234,1
DB00959,DB00611,1
DB02116,DB01013,1
DB01356,DB01162,1
DB00991,DB00363,1
DB01128,DB00230,1
DB00240,DB00014,1
DB00958,DB01393,1
DB00570,DB04299,1
DB00584,DB04557,1
DB02116,DB01393,1
DB00380,DB01050,1
DB00883,DB00162,1
DB01174,DB00477,1
DB01073,DB00920,1
DB00778,DB00252,1
DB00746,DB02855,1
DB00761,DB01997,1
DB00861,DB00313,1
DB00947,DB00990,1
DB00222,DB00753,1
DB00363,DB01296,1
DB00675,DB01220,1
DB01234,DB00182,1
DB00966,DB00939,1
DB00834,DB01097,1
DB00949,DB01454,1
DB03575,DB00694,1
DB00796,DB02679,1
DB00783,DB01118,1
DB00343,DB00988,1
DB00170,DB01113,1
DB04216,DB01186,1
DB00104,DB00398,1
DB02546,DB00746,1
DB03904,DB04348,1
DB01378,DB00572,1
DB00126,DB04540,1
DB00831,DB00624,1
DB01229,DB02379,1
DB00784,DB01424,1
DB00412,DB01128,1
DB00917,DB00563,1
DB00398,DB01213,1
DB00842,DB02379,1
DB03568,DB01101,1
DB00630,DB00864,1
DB01120,DB00523,1
DB00814,DB00188,1
DB00653,DB00989,1
DB00215,DB01128,1
DB00788,DB00999,1
DB04690,DB04827,1
DB01039,DB00648,1
DB00323,DB00446,1
DB00584,DB00977,1
DB00091,DB00977,1
DB00175,DB00204,1
DB00335,DB01085,1
DB00696,DB01034,1
DB00608,DB02712,1
DB00143,DB00014,1
DB00501,DB00175,1
DB00533,DB00747,1
DB00542,DB00171,1
DB00495,DB00532,1
DB00860,DB01954,1
DB03796,DB00584,1
DB00343,DB00973,1
DB00122,DB00834,1
DB00127,DB00290,1
DB00910,DB01104,1
DB02116,DB00091,1
DB00398,DB00126,1
DB01114,DB01159,1
DB00679,DB00656,1
DB00744,DB01919,1
DB01110,DB01043,1
DB03864,DB03703,1
DB00836,DB01420,1
DB00170,DB02546,1
DB00184,DB01181,1
DB00512,DB00762,1
DB00242,DB02587,1
DB00778,DB00995,1
DB00359,DB00642,1
DB00814,DB01880,1
DB00134,DB00949,1
DB00833,DB01039,1
DB04786,DB00297,1
DB01073,DB01055,1
DB00700,DB01212,1
DB00845,DB00752,1
DB00731,DB00799,1
DB00273,DB00252,1
DB00501,DB01268,1
DB00091,DB00381,1
DB01129,DB00379,1
DB00295,DB04540,1
DB02925,DB00687,1
DB00411,DB01119,1
DB01590,DB00947,1
DB01320,DB01267,1
DB01113,DB00388,1
DB01268,DB01005,1
DB00255,DB01095,1
DB00643,DB01356,1
DB01073,DB00273,1
DB00982,DB00842,1
DB00446,DB00162,1
DB03193,DB02249,1
DB01166,DB04751,1
DB00157,DB02901,1
DB03206,DB01183,1
DB04743,DB00412,1
DB00773,DB00255,1
DB00974,DB00401,1
DB00104,DB01406,1
DB02262,DB00602,1
DB01234,DB00533,1
DB01128,DB00254,1
DB00798,DB00917,1
DB00368,DB00264,1
DB00170,DB00275,1
DB00382,DB00772,1
DB00307,DB00682,1
DB00508,DB01370,1
DB00605,DB00936,1
DB00987,DB00612,1
DB01345,DB00471,1
DB00391,DB01045,1
DB00277,DB00399,1
DB04311,DB00205,1
DB00337,DB00572,1
DB01136,DB00238,1
DB00968,DB00753,1
DB00877,DB00502,1
DB01327,DB00950,1
DB01425,DB00527,1
DB04573,DB00730,1
DB00162,DB01212,1
DB00772,DB00394,1
DB00184,DB00321,1
DB02656,DB01424,1
DB00851,DB00104,1
DB01238,DB01370,1
DB01110,DB00325,1
DB01213,DB00444,1
DB00741,DB00316,1
DB00755,DB00860,1
DB03206,DB01597,1
DB02207,DB00381,1
DB00244,DB00916,1
DB00669,DB00273,1
DB01181,DB00572,1
DB00435,DB02709,1
DB00403,DB00328,1
DB00993,DB00821,1
DB00857,DB00116,1
DB00860,DB00977,1
DB00179,DB02656,1
DB03783,DB00608,1
DB01452,DB00647,1
DB00685,DB00675,1
DB04817,DB00381,1
DB00831,DB01933,1
DB00317,DB04173,1
DB00657,DB00624,1
DB00853,DB01030,1
DB02379,DB00091,1
DB00441,DB03703,1
DB02740,DB02587,1
DB04540,DB02261,1
DB01216,DB00470,1
DB02166,DB01698,1
DB00572,DB01029,1
DB01174,DB00316,1
DB00206,DB00685,1
DB01082,DB00378,1
DB00275,DB00204,1
DB03902,DB00301,1
DB00788,DB00737,1
DB00322,DB00421,1
DB00338,DB01378,1
DB02527,DB00533,1
DB00675,DB00261,1
DB00559,DB00523,1
DB00254,DB01082,1
DB00493,DB01240,1
DB00755,DB00622,1
DB00656,DB01119,1
DB02740,DB00445,1
DB00499,DB01259,1
DB01262,DB00657,1
DB00126,DB01098,1
DB00279,DB00208,1
DB00572,DB00795,1
DB00158,DB00367,1
DB01708,DB00307,1
DB01041,DB02656,1
DB00963,DB04540,1
DB00384,DB01435,1
DB01283,DB03575,1
DB03345,DB00949,1
DB00934,DB00635,1
DB00860,DB01143,1
DB04468,DB03128,1
DB00809,DB04824,1
DB01202,DB00657,1
DB00188,DB00612,1
DB01645,DB00284,1
DB01016,DB02285,1
DB00709,DB00625,1
DB00091,DB00431,1
DB00390,DB00590,1
DB02095,DB00764,1
DB00157,DB00502,1
DB00443,DB04485,1
DB01082,DB00290,1
DB00421,DB00333,1
DB01085,DB00709,1
DB00276,DB00938,1
DB03206,DB02300,1
DB04005,DB00675,1
DB01182,DB00388,1
DB00588,DB00050,1
DB01011,DB00884,1
DB02701,DB01696,1
DB00515,DB00184,1
DB03193,DB00974,1
DB00650,DB00865,1
DB00168,DB00368,1
DB04315,DB01043,1
DB00710,DB00403,1
DB00918,DB04299,1
DB00851,DB00381,1
DB01050,DB00482,1
DB00922,DB02375,1
DB01182,DB00708,1
DB00657,DB01406,1
DB01076,DB02925,1
DB00364,DB00625,1
DB00482,DB00988,1
DB00266,DB00335,1
DB00224,DB01053,1
DB00909,DB01254,1
DB00968,DB00515,1
DB01119,DB00917,1
DB01166,DB00526,1
DB03575,DB00228,1
DB00712,DB01104,1
DB01011,DB00995,1
DB01183,DB00727,1
DB00207,DB00127,1
DB01340,DB00412,1
DB01033,DB00764,1
DB00162,DB02527,1
DB01536,DB00675,1
DB01120,DB01399,1
DB00847,DB00669,1
DB01064,DB00431,1
DB00724,DB00549,1
DB00398,DB04014,1
DB01576,DB00584,1
DB00675,DB00208,1
DB00890,DB00367,1
DB01094,DB00273,1
DB04485,DB00273,1
DB00323,DB00348,1
DB00762,DB00143,1
DB00115,DB00370,1
DB00342,DB00633,1
DB01424,DB01232,1
DB00708,DB01165,1
DB00794,DB01213,1
DB00244,DB00813,1
DB00783,DB00421,1
DB00206,DB00571,1
DB00718,DB00624,1
DB00871,DB00694,1
DB00285,DB02315,1
DB04540,DB00624,1
DB01165,DB04077,1
DB00530,DB00847,1
DB00162,DB04557,1
DB00394,DB00730,1
DB00526,DB01199,1
DB01204,DB00860,1
DB04224,DB00753,1
DB03052,DB00682,1
DB00323,DB00637,1
DB00570,DB00798,1
DB00277,DB01065,1
DB00305,DB00363,1
DB00501,DB00503,1
DB00834,DB00989,1
DB04216,DB02375,1
DB00399,DB00909,1
DB00378,DB02010,1
DB00845,DB00908,1
DB00245,DB04743,1
DB00484,DB00417,1
DB00907,DB01037,1
DB02656,DB00412,1
DB00977,DB00860,1
DB00435,DB00400,1
DB01320,DB01098,1
DB02709,DB00503,1
DB01115,DB00493,1
DB00201,DB00400,1
DB01221,DB01223,1
DB00688,DB01212,1
DB00776,DB01143,1
DB02095,DB01045,1
DB00530,DB02375,1
DB01011,DB00173,1
DB00640,DB04077,1
DB00655,DB00136,1
DB00515,DB01012,1
DB00378,DB00920,1
DB04258,DB02379,1
DB00553,DB00772,1
DB01394,DB00584,1
DB00584,DB00612,1
DB03796,DB00208,1
DB01095,DB00959,1
DB00318,DB00819,1
DB00925,DB01370,1
DB03696,DB00179,1
DB01159,DB00709,1
DB01039,DB00368,1
DB00715,DB01173,1
DB00201,DB01436,1
DB00860,DB00361,1
DB00881,DB00657,1
DB01030,DB02379,1
DB04827,DB00399,1
DB00446,DB04014,1
DB04707,DB00920,1
DB00589,DB01933,1
DB01181,DB01435,1
DB00973,DB04258,1
DB00290,DB00512,1
DB00421,DB00338,1
DB01119,DB01406,1
DB01242,DB01013,1
DB00503,DB00476,1
DB00448,DB00336,1
DB00307,DB00798,1
DB01011,DB01708,1
DB01083,DB01214,1
DB01927,DB00927,1
DB04173,DB02546,1
DB03193,DB00675,1
DB00281,DB00753,1
DB00695,DB00176,1
DB03796,DB00811,1
DB01356,DB00970,1
DB00170,DB01222,1
DB00947,DB01296,1
DB00860,DB01174,1
DB00337,DB00295,1
DB01005,DB00780,1
DB00909,DB01220,1
DB00883,DB00489,1
DB00907,DB00724,1
DB02300,DB01128,1
DB00481,DB00770,1
DB00759,DB00215,1
DB01101,DB00864,1
DB01229,DB04468,1
DB00458,DB00590,1
DB01181,DB00151,1
DB00637,DB00320,1
DB00907,DB01132,1
DB00831,DB00136,1
DB00903,DB00993,1
DB00656,DB00841,1
DB00966,DB00798,1
DB01262,DB00958,1
DB00368,DB01016,1
DB01370,DB01064,1
DB00254,DB00744,1
DB00207,DB00162,1
DB00949,DB00540,1
DB00542,DB00995,1
DB01211,DB00363,1
DB00316,DB01118,1
DB00630,DB01340,1
DB01174,DB00877,1
DB00143,DB03864,1
DB00633,DB00682,1
DB00626,DB01008,1
DB04311,DB03568,1
DB00744,DB04557,1
DB00323,DB01183,1
DB00608,DB01016,1
DB00175,DB00809,1
DB00996,DB03796,1
DB03193,DB00215,1
DB00104,DB00338,1
DB01118,DB00466,1
DB00891,DB01222,1
DB00814,DB00411,1
DB00853,DB00367,1
DB00718,DB00543,1
DB00296,DB00977,1
DB02546,DB01097,1
DB01069,DB00594,1
DB01927,DB02379,1
DB01296,DB00470,1
DB04365,DB01045,1
DB04540,DB00970,1
DB00277,DB01262,1
DB00939,DB00842,1
DB00762,DB00602,1
DB00642,DB01366,1
DB00991,DB01151,1
DB01136,DB00184,1
DB00255,DB02052,1
DB00897,DB00368,1
DB00323,DB01597,1
DB00842,DB00441,1
DB00694,DB01429,1
DB01242,DB00312,1
DB01536,DB00987,1
DB01115,DB01440,1
DB01345,DB02261,1
DB01708,DB00394,1
DB00338,DB00884,1
DB00831,DB00583,1
DB00261,DB04557,1
DB00158,DB01950,1
DB01189,DB00571,1
DB04557,DB00277,1
DB00985,DB00533,1
DB00290,DB01370,1
DB00312,DB00184,1
DB01177,DB01054,1
DB02169,DB01005,1
DB00903,DB00187,1
DB00907,DB00648,1
DB00590,DB00170,1
DB00630,DB00831,1
DB00281,DB00515,1
DB04311,DB00842,1
DB00573,DB00857,1
DB04348,DB00907,1
DB01229,DB00570,1
DB01213,DB04014,1
DB00482,DB00184,1
DB00797,DB01590,1
DB01212,DB00696,1
DB00614,DB00537,1
DB01595,DB01101,1
DB01118,DB00290,1
DB00499,DB01159,1
DB00399,DB00300,1
DB00171,DB01043,1
DB02998,DB02266,1
DB00338,DB01236,1
DB01101,DB00115,1
DB04173,DB00312,1
DB00238,DB01236,1
DB01927,DB01060,1
DB04786,DB00363,1
DB01039,DB03696,1
DB00982,DB00755,1
DB00636,DB02546,1
DB00413,DB00397,1
DB00531,DB00571,1
DB00857,DB03760,1
DB00734,DB00975,1
DB00542,DB01242,1
DB00338,DB01159,1
DB00526,DB02527,1
DB00682,DB00342,1
DB00909,DB02379,1
DB00590,DB00624,1
DB01110,DB02169,1
DB00602,DB00400,1
DB00996,DB00947,1
DB00635,DB00519,1
DB01199,DB01221,1
DB00166,DB00215,1
DB00542,DB01708,1
DB00860,DB03568,1
DB01880,DB00650,1
DB00572,DB02691,1
DB00723,DB02546,1
DB00851,DB01262,1
DB00338,DB04540,1
DB00197,DB02855,1
DB00472,DB00503,1
DB00669,DB00988,1
DB00583,DB00279,1
DB01095,DB00764,1
DB00641,DB00141,1
DB00388,DB00290,1
DB01248,DB00490,1
DB01406,DB00273,1
DB00957,DB00457,1
DB01131,DB02210,1
DB00471,DB00744,1
DB00338,DB01267,1
DB03864,DB00637,1
DB00580,DB00157,1
DB01002,DB00984,1
DB01232,DB01159,1
DB00518,DB00920,1
DB00158,DB00317,1
DB00759,DB00764,1
DB01128,DB01108,1
DB00320,DB00784,1
DB00170,DB00575,1
DB01083,DB00224,1
DB00602,DB00162,1
DB00381,DB04166,1
DB00530,DB03760,1
DB00831,DB00884,1
DB00588,DB00834,1
DB01370,DB02757,1
DB01267,DB00184,1
DB03783,DB01119,1
DB00626,DB01015,1
DB01424,DB00720,1
DB00104,DB00444,1
DB02187,DB00528,1
DB01229,DB00367,1
DB01182,DB00657,1
DB02679,DB00432,1
DB01129,DB00695,1
DB00277,DB01204,1
DB00682,DB02266,1
DB00903,DB00968,1
DB00224,DB01579,1
DB01032,DB00396,1
DB02424,DB00367,1
DB00917,DB00698,1
DB00898,DB00544,1
DB00091,DB01696,1
DB00188,DB00564,1
DB00864,DB00409,1
DB00301,DB01080,1
DB01373,DB00325,1
DB00170,DB01234,1
DB01013,DB01039,1
DB02925,DB00014,1
DB00929,DB00819,1
DB00886,DB01136,1
DB00640,DB00448,1
DB00947,DB00977,1
DB01023,DB00863,1
DB00836,DB00530,1
DB01296,DB01169,1
DB00518,DB00861,1
DB02261,DB01933,1
DB00360,DB00158,1
DB00119,DB04485,1
DB00465,DB00182,1
DB02169,DB00730,1
DB03568,DB04816,1
DB00533,DB00710,1
DB01236,DB00403,1
DB00627,DB00612,1
DB01151,DB01120,1
DB00656,DB01069,1
DB02757,DB00193,1
DB00178,DB04216,1
DB00290,DB01919,1
DB01059,DB01029,1
DB04381,DB00530,1
DB00503,DB01340,1
DB01267,DB00501,1
DB00413,DB00497,1
DB03345,DB00360,1
DB00394,DB00968,1
DB00338,DB04743,1
DB02262,DB01296,1
DB01159,DB00730,1
DB00806,DB01093,1
DB01095,DB00332,1
DB01268,DB00928,1
DB00602,DB03575,1
DB00247,DB00367,1
DB01022,DB00401,1
DB01009,DB00722,1
DB00762,DB01015,1
DB01412,DB00865,1
DB04540,DB00338,1
DB01183,DB03193,1
DB00318,DB00656,1
DB01199,DB01406,1
DB01880,DB00368,1
DB00533,DB04703,1
DB00341,DB00499,1
DB00398,DB00457,1
DB01267,DB04077,1
DB00166,DB02701,1
DB00177,DB00584,1
DB00162,DB00470,1
DB01039,DB00709,1
DB00515,DB00307,1
DB00917,DB00255,1
DB00820,DB00687,1
DB01696,DB00091,1
DB00515,DB00457,1
DB00370,DB00305,1
DB04417,DB00903,1
DB02546,DB00903,1
DB00180,DB04365,1
DB00169,DB01030,1
DB00977,DB01189,1
DB00207,DB00866,1
DB00700,DB00472,1
DB00126,DB01698,1
DB00290,DB00864,1
DB01115,DB01454,1
DB01395,DB00127,1
DB04703,DB00320,1
DB00755,DB02056,1
DB01024,DB02656,1
DB00188,DB00421,1
DB00201,DB00295,1
DB01656,DB00909,1
DB00409,DB01429,1
DB00445,DB00388,1
DB00834,DB04166,1
DB00403,DB00162,1
DB04827,DB03568,1
DB02249,DB01364,1
DB00411,DB00949,1
DB00564,DB00328,1
DB01001,DB00903,1
DB00841,DB00716,1
DB00242,DB00675,1
DB00466,DB00687,1
DB00180,DB00584,1
DB00441,DB00988,1
DB00481,DB00126,1
DB00796,DB00421,1
DB00277,DB00687,1
DB00738,DB00712,1
DB00841,DB00704,1
DB04311,DB00982,1
DB00788,DB00907,1
DB00630,DB01039,1
DB01370,DB00193,1
DB03568,DB00325,1
DB00523,DB00317,1
DB00678,DB00721,1
DB00379,DB00284,1
DB00091,DB01162,1
DB00378,DB00988,1
DB00640,DB01013,1
DB00523,DB01393,1
DB04557,DB00995,1
DB01268,DB00602,1
DB00571,DB01030,1
DB01149,DB00177,1
DB01327,DB01696,1
DB00753,DB02285,1
DB00882,DB00325,1
DB02329,DB01068,1
DB00847,DB00541,1
DB01259,DB01200,1
DB00127,DB04828,1
DB00427,DB00158,1
DB01110,DB00313,1
DB00305,DB00988,1
DB00333,DB01098,1
DB01001,DB01033,1
DB00696,DB01580,1
DB00786,DB00277,1
DB00761,DB04485,1
DB02261,DB00193,1
DB00929,DB01213,1
DB00761,DB00515,1
DB00891,DB01234,1
DB00335,DB04703,1
DB00966,DB02325,1
DB01597,DB02261,1
DB00927,DB01708,1
DB01016,DB01128,1
DB00158,DB02424,1
DB00151,DB00134,1
DB00399,DB01234,1
DB00177,DB00342,1
DB00378,DB00973,1
DB01092,DB01221,1
DB01068,DB00532,1
DB00877,DB00673,1
DB00643,DB00435,1
DB00193,DB00867,1
DB00947,DB00755,1
DB02712,DB00543,1
DB01395,DB00342,1
DB01100,DB00741,1
DB01093,DB00187,1
DB00368,DB01136,1
DB00182,DB00717,1
DB01050,DB00439,1
DB04557,DB00586,1
DB00207,DB00404,1
DB00181,DB00220,1
DB01174,DB01098,1
DB01204,DB00470,1
DB00242,DB01283,1
DB00918,DB03222,1
DB00594,DB02379,1
DB00335,DB00296,1
DB01013,DB00818,1
DB00273,DB00740,1
DB00158,DB00417,1
DB01221,DB00136,1
DB04841,DB01880,1
DB01262,DB01919,1
DB00396,DB00907,1
DB02052,DB00871,1
DB00968,DB00531,1
DB02021,DB00369,1
DB00446,DB01268,1
DB04513,DB00477,1
DB00648,DB00602,1
DB00636,DB01065,1
DB00321,DB00388,1
DB01165,DB00909,1
DB00381,DB00382,1
DB00586,DB00325,1
DB01927,DB00320,1
DB00173,DB00715,1
DB01200,DB00281,1
DB01079,DB01170,1
DB00710,DB01048,1
DB02701,DB00968,1
DB00812,DB00920,1
DB01001,DB00166,1
DB00749,DB00373,1
DB00335,DB00580,1
